 Timecode, m      
11/05/2023 16:10,5.168.935
11/05/2023 16:10,5.247.517
11/05/2023 16:10,5.382.943
11/05/2023 16:10,5.459.801
11/05/2023 16:10,5.432.139
11/05/2023 16:10,5.392.169
11/05/2023 16:10,5.452.118
11/05/2023 16:10,5.389.094
11/05/2023 16:10,5.232.114
11/05/2023 16:10,5.276.774
11/05/2023 16:10,5.421.379
11/05/2023 16:10,5.447.508
11/05/2023 16:10,5.386.018
11/05/2023 16:10,5.341.413
11/05/2023 16:10,5.324.488
11/05/2023 16:10,5.344.490
11/05/2023 16:10,5.373.716
11/05/2023 16:10,5.406.007
11/05/2023 16:10,5.399.857
11/05/2023 16:10,5.359.873
11/05/2023 16:10,5.321.411
11/05/2023 16:10,5.273.695
11/05/2023 16:10,5.273.695
11/05/2023 16:10,5.261.377
11/05/2023 16:10,5.273.695
11/05/2023 16:10,5.381.405
11/05/2023 16:10,5.424.454
11/05/2023 16:10,5.390.631
11/05/2023 16:10,5.373.716
11/05/2023 16:10,5.269.076
11/05/2023 16:10,5.204.383
11/05/2023 16:10,5.196.678
11/05/2023 16:10,5.309.099
11/05/2023 16:10,5.358.335
11/05/2023 16:10,5.339.875
11/05/2023 16:10,5.359.873
11/05/2023 16:10,5.332.182
11/05/2023 16:10,5.310.638
11/05/2023 16:10,5.367.564
11/05/2023 16:10,5.362.949
11/05/2023 16:10,5.370.640
11/05/2023 16:10,5.409.081
11/05/2023 16:10,5.399.857
11/05/2023 16:10,5.379.867
11/05/2023 16:10,5.352.182
11/05/2023 16:10,5.327.566
11/05/2023 16:10,5.326.027
11/05/2023 16:10,5.350.644
11/05/2023 16:10,5.389.094
11/05/2023 16:11,5.336.798
11/05/2023 16:11,5.242.896
11/05/2023 16:11,5.281.392
11/05/2023 16:11,5.369.102
11/05/2023 16:11,5.399.857
11/05/2023 16:11,5.412.156
11/05/2023 16:11,5.366.026
11/05/2023 16:11,5.327.566
11/05/2023 16:11,5.318.333
11/05/2023 16:11,5.298.325
11/05/2023 16:11,5.407.544
11/05/2023 16:11,5.504.350
11/05/2023 16:11,5.453.654
11/05/2023 16:11,5.330.643
11/05/2023 16:11,5.218.250
11/05/2023 16:11,5.176.643
11/05/2023 16:11,5.295.247
11/05/2023 16:11,5.393.707
11/05/2023 16:11,5.438.287
11/05/2023 16:11,5.436.750
11/05/2023 16:11,5.339.875
11/05/2023 16:11,5.307.560
11/05/2023 16:11,5.321.411
11/05/2023 16:11,5.269.076
11/05/2023 16:11,5.259.837
11/05/2023 16:11,5.333.720
11/05/2023 16:11,5.390.631
11/05/2023 16:11,5.347.567
11/05/2023 16:11,5.329.104
11/05/2023 16:11,5.356.797
11/05/2023 16:11,5.392.169
11/05/2023 16:11,5.404.469
11/05/2023 16:11,5.362.949
11/05/2023 16:11,5.350.644
11/05/2023 16:11,5.398.319
11/05/2023 16:11,5.361.411
11/05/2023 16:11,5.333.720
11/05/2023 16:11,5.367.564
11/05/2023 16:11,5.419.842
11/05/2023 16:11,5.376.791
11/05/2023 16:11,5.326.027
11/05/2023 16:11,5.304.482
11/05/2023 16:11,5.335.259
11/05/2023 16:11,5.336.798
11/05/2023 16:11,5.344.490
11/05/2023 16:11,5.367.564
11/05/2023 16:11,5.347.567
11/05/2023 16:11,5.352.182
11/05/2023 16:11,5.310.638
11/05/2023 16:11,5.292.168
11/05/2023 16:11,5.373.716
11/05/2023 16:11,5.395.244
11/05/2023 16:11,5.287.550
11/05/2023 16:11,5.272.155
11/05/2023 16:11,5.321.411
11/05/2023 16:11,5.309.099
11/05/2023 16:11,5.275.234
11/05/2023 16:11,5.319.872
11/05/2023 16:11,5.347.567
11/05/2023 16:11,5.322.950
11/05/2023 16:12,5.292.168
11/05/2023 16:12,5.296.786
11/05/2023 16:12,5.379.867
11/05/2023 16:12,5.482.846
11/05/2023 16:12,5.412.156
11/05/2023 16:12,5.230.574
11/05/2023 16:12,5.165.852
11/05/2023 16:12,5.245.977
11/05/2023 16:12,5.315.255
11/05/2023 16:12,5.316.794
11/05/2023 16:12,5.386.018
11/05/2023 16:12,5.425.991
11/05/2023 16:12,5.339.875
11/05/2023 16:12,5.258.297
11/05/2023 16:12,5.261.377
11/05/2023 16:12,5.399.857
11/05/2023 16:12,5.475.165
11/05/2023 16:12,5.427.528
11/05/2023 16:12,5.378.329
11/05/2023 16:12,5.292.168
11/05/2023 16:12,5.222.871
11/05/2023 16:12,5.313.716
11/05/2023 16:12,5.396.782
